"","상호명","신주소","Latitude","Longitude","dis_diff"
"152","한일관","06023 서울특별시 강남구 압구정로38길 14 (신사동)",37.5277368,127.0324784,0.0819740043170362
"153","닐리스커피","06030 서울 강남구 논현로175길 15 (신사동)",37.5258335,127.0273962,0.079468142570462
"154","봉래헌(메이필드호텔)","07506 서울 강서구 방화대로 94 (메이필드호텔)",37.5470897,126.8191244,0.154516315617992
"155","쿄우","07332 서울특별시 영등포구 국제금융로8길 27-9 (여의도동)",37.5196329,126.9289194,0.0735855802735864
"156","남포면옥(중구)","04522 서울특별시 중구 을지로3길 24 (다동)",37.5671067,126.9816605,0.0179728595802116
"157","한방삼계탕","05641 서울 송파구 백제고분로 460 (은성빌딩)",37.5114244,127.1133045,0.159241383656942
"158","초록바구니","04426 서울 용산구 이촌로84길 9-18",37.5179524,126.9777158,0.0632556894760441
"159","아따블르","03054 서울 종로구 팔판길 29",37.5830692,126.9811125,0.0114203152119276
"160","호면당","06011 서울 강남구 도산대로 505 (청담동, 송담빌딩)",37.5245957,127.0482172,0.0963272317351564
"161","우래옥","04546 서울 중구 창경궁로 62-29 (우래옥)",37.5681851,126.9987092,0.0313892164623342
"162","미코","06012 서울 강남구 도산대로85길 14",37.5253929,127.049188,0.0966592458137303
"163","코코이찌방야","06128 서울 강남구 강남대로102길 14 (장연빌딩)",37.5018641,127.0269901,0.0973384541846126
"164","더키친살바토레쿠오모","06020 서울특별시 강남구 언주로164길 29 (신사동)",37.5256583,127.0360249,0.0860263920803893
"165","파낙스","07332 서울 영등포구 여의대방로65길 17 (여의도동, 서린빌딩)",37.5197067,126.9292034,0.0733662687272528
"166","가양칼국수버섯매운탕","07333 서울 영등포구 국제금융로 78 (홍우빌딩) 지하 1층",37.5208328999999,126.9312858,0.0712820613341942
"167","지화자","03031 서울 종로구 자하문로 125 (청운동)",37.5893662,126.9697192,0.00864119005751309
"168","한양곰치국","07237 서울 영등포구 국회대로70길 18 (여의도동, 한양빌딩) 지하 1층",37.5288535,126.9203339,0.0717717347320669
"169","구마산","07333 서울특별시 영등포구 국제금융로 70 (여의도동)",37.5214625,126.9306592,0.0710980779374567
"170","떼부짱","06017 서울특별시 강남구 압구정로46길 25(신사동)",37.5269539,127.0364483,0.0855316739500013
"171","이승남의꽃과빵","06004 서울 강남구 압구정로29길 68 (압구정동, 현대아파트) 현대상가 지하 1층",37.5320757,127.0284556,0.0761032268477449
"172","수정","07339 서울 영등포구 국제금융로7길 3",37.5225233,126.9311893,0.0699211409346962
"173","한양원","07333 서울 영등포구 여의대방로65길 6 (센터빌딩) 1층",37.51915,126.9305202,0.0731117215667179
"174","대여","07333 서울 영등포구 여의대방로67길 22 (여의도동, 태양빌딩)",37.5206229,126.9299477,0.0721911015946571
"175","진동횟집","06530 서울특별시 서초구 강남대로91길 18 (잠원동)",37.5122338,127.0196298,0.0846227354923603
